District code,State name,District name,Population,Male,Female
497,MAHARASHTRA,Nandurbar,1648295,833170,815125
498,MAHARASHTRA,Dhule,2050862,1054031,996831
499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552
500,MAHARASHTRA,Buldana,2586258,1337560,1248698
501,MAHARASHTRA,Akola,1813906,932334,881572
502,MAHARASHTRA,Washim,1197160,620302,576858
503,MAHARASHTRA,Amravati,2888445,1480768,1407677
504,MAHARASHTRA,Wardha,1300774,668385,632389
505,MAHARASHTRA,Nagpur,4653570,2384975,2268595
506,MAHARASHTRA,Bhandara,1200334,605520,594814
507,MAHARASHTRA,Gondiya,1322507,661554,660953
508,MAHARASHTRA,Gadchiroli,1072942,541328,531614
509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473
510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383
511,MAHARASHTRA,Nanded,3361292,1730075,1631217
512,MAHARASHTRA,Hingoli,1177345,606294,571051
513,MAHARASHTRA,Parbhani,1836086,942870,893216
514,MAHARASHTRA,Jalna,1959046,1011473,947573
515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813
516,MAHARASHTRA,Nashik,6107187,3157186,2950001
517,MAHARASHTRA,Thane,11060148,5865078,5195070
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855
521,MAHARASHTRA,Pune,9429408,4924105,4505303
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334
523,MAHARASHTRA,Bid,2585049,1349106,1235943
524,MAHARASHTRA,Latur,2454196,1273140,1181056
525,MAHARASHTRA,Osmanabad,1657576,861535,796041
526,MAHARASHTRA,Solapur,4317756,2227852,2089904
527,MAHARASHTRA,Satara,3003741,1510842,1492899
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948
529,MAHARASHTRA,Sindhudurg,849651,417332,432319
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343
531,MAHARASHTRA,Sangli,2822143,1435728,1386415
