State/UTs,Population
Andaman and Nicobar,399001
Andhra Pradesh,91702478
Arunachal Pradesh,1711947
Assam,35998752
Bihar,128500364
Chandigarh,1158040
Chhattisgarh,32199722
Dadra and Nagar Haveli and Daman and Diu,773997
Delhi,19301096
Goa,1521992
Gujarat,70400153
Haryana,28900667
Himachal Pradesh,7503010
Jammu and Kashmir,14999397
Jharkhand,40100376
Karnataka,69599762
Kerala,34698876
Ladakh,290492
Lakshadweep,66001
Madhya Pradesh,85002417
Maharashtra,124904071
Manipur,3436948
Meghalaya,3772103
Mizoram,1308967
Nagaland,2073074
Odisha,47099270
Puducherry,1646050
Punjab,30501026
Rajasthan,79502477
Sikkim,658019
Tamil Nadu,83697770
Telengana,38157311
Tripura,4184959
Uttar Pradesh,231502578
Uttarakhand,11700099
West Bengal,100896618
